time,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,knee_angle_l_moment,ankle_angle_l_moment,subtalar_angle_l_moment,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,knee_angle_r_moment,ankle_angle_r_moment,subtalar_angle_r_moment
0,0.0360835815623104,0.015096526525663,-0.0101641055614483,0.164572119582347,-0.129296307181727,0.0368461286028837,-0.0537673694083223,-0.243290092490783,0.00728843508294687,0.0178101209523208,-0.368927635710229,0.16061387702371
0.005,0.0284496059516261,0.00882386302846485,-0.00996686667624623,0.167936679539092,-0.128165597604305,0.0370780728751816,-0.0536095916490546,-0.241410202854145,0.0070582189254862,0.0180260933029066,-0.367350412859984,0.159208269401491
0.01,0.0207869682190367,0.0026730763826266,-0.00979713484149881,0.171316912340211,-0.127047325720315,0.0373151093879226,-0.0534416031155279,-0.23948870455134,0.00682774376259335,0.0182281128539741,-0.365732515494129,0.15779227214474
0.015,0.0131441748613959,-0.00327734064790451,-0.00966377092870842,0.174721867307457,-0.125959579469853,0.0375599329425648,-0.0532528264211852,-0.237493079451617,0.00659788151789823,0.0184098087329802,-0.364064126414598,0.15636823627363
0.02,0.00557057136991644,-0.00895408106739774,-0.00957468269945568,0.17816197714333,-0.124920303092909,0.0378152260611139,-0.0530332606842715,-0.235388981884499,0.00636943670031373,0.0185646208704813,-0.362334930759813,0.15493792032591
0.025,-0.00188421826493705,-0.0142910858999653,-0.00953649494744304,0.18164856281332,-0.123946930701512,0.0380835643734171,-0.0527738567546726,-0.233141271570393,0.00614314227722833,0.0186859436558,-0.360534550748328,0.153502534429362
0.03,-0.00917090644717402,-0.0192313874111384,-0.00955425633151584,0.185193363485611,-0.123056052024397,0.0383673334119621,-0.0524668403178745,-0.230715071695071,0.00591965719514783,0.0187672841466057,-0.35865299589746,0.152062804986209
0.035,-0.0162412105616943,-0.0237286699130469,-0.00963119466669845,0.18880811626033,-0.12226312149066,0.0386686609103784,-0.0521059689730858,-0.228076816376716,0.0056995652642682,0.0188024309275815,-0.356681111750746,0.150619056352523
0.04,-0.0230485713087369,-0.027748496767185,-0.0097685304205287,0.192504205320661,-0.12158221957199,0.0389893677011646,-0.0516867134740149,-0.225195253794083,0.00548337511708386,0.018785628677324,-0.35461101023568,0.149171305318715
0.045,-0.0295489130698822,-0.0312691660349188,-0.00996535574019329,0.196292394104,-0.121025872696544,0.0393309391719013,-0.051206357871796,-0.222042374526262,0.00527152096757143,0.0187117526194284,-0.352436465494872,0.147719363787475
0.05,-0.0357014344205759,-0.0342821720893236,-0.0102185836443578,0.20018264762804,-0.120604935230319,0.0396945180452319,-0.0506640179926724,-0.218594238923987,0.00506436393320938,0.018576476391397,-0.350153260351401,0.14626294481849
0.055,-0.0414694125135114,-0.0367922656009737,-0.01052296918805,0.20418404571681,-0.120328534151028,0.0400809180685255,-0.0500605821997444,-0.214831682268304,0.00486219373162796,0.0183764265367456,-0.347759470431561,0.144801767179458
0.06,-0.0468210006724236,-0.0388171189282404,-0.0108712015813049,0.208304782005277,-0.120204074268121,0.0404906570974679,-0.0493985824334284,-0.210740881740378,0.00466523062045963,0.0181093168624874,-0.345255675311294,0.143335653721345
0.065,-0.051729994449122,-0.0403866174782787,-0.0112540635347997,0.21255223861532,-0.120237299309701,0.0409240070861253,-0.0486820068506416,-0.206313774515446,0.0044736275063726,0.0177740563296779,-0.342645088797059,0.14186461928549
0.07,-0.0561765379634976,-0.0415418095938274,-0.0116606516277077,0.216933122526297,-0.12043240201869,0.0413810576955527,-0.0479160678041162,-0.201548321346367,0.00428747220168114,0.017370824952808,-0.339933603501738,0.140388944441793
0.075,-0.0601477399667052,-0.042333557638816,-0.0120786493387046,0.221453647014626,-0.120792174664474,0.0418617896341833,-0.0471069403125558,-0.19644861463312,0.00410678985038612,0.0169011133395253,-0.337129748117612,0.138909232126943
0.08,-0.0636381681473485,-0.0428209410065885,-0.0124946426279622,0.226119740091438,-0.121318190139299,0.0423661534656513,-0.0462614865406294,-0.191024834076502,0.00393154557804442,0.0163677229455372,-0.334244559091798,0.1374264451607
0.085,-0.0666501910960575,-0.0430694676695585,-0.0128944666652595,0.230937261511907,-0.12201100309685,0.0428941494718154,-0.0453869811805453,-0.185293056550719,0.00376164744139303,0.0157747257719511,-0.331291371634149,0.135941923615545
0.09,-0.0691941403025095,-0.0431491546214695,-0.0132635715061241,0.235912210491463,-0.12287036040106,0.0434459042374016,-0.0444908511132883,-0.179274929816976,0.00359694976545529,0.0151273840035484,-0.328285537990072,0.134457382042208
0.095,-0.0712882696635004,-0.0431325391844548,-0.0135873942415351,0.241050907549993,-0.123895410458158,0.0440217399129418,-0.0435804404859355,-0.172997222187444,0.00343725695997378,0.0144320318817186,-0.325244083554807,0.132974887550645
0.1,-0.0729584971138009,-0.0430926827542954,-0.0138517253815098,0.246360135736217,-0.125084901755634,0.0446222325886764,-0.0426628095642159,-0.166491262296518,0.00328232790557388,0.0136959238310876,-0.322185313573277,0.131496820657507
0.105,-0.074237921827559,-0.0431012262607217,-0.0140430579499641,0.251847228718093,-0.126437362063123,0.0452482568388585,-0.0417445726188917,-0.159792284800463,0.00313188099473888,0.012927054425337,-0.319128384769417,0.130025821590413
0.11,-0.0751661204650973,-0.0432265525764749,-0.0141489089163725,0.257520095762602,-0.127951251186564,0.0459010142323917,-0.0408317769004504,-0.152938699150019,0.00298559990436687,0.0121339571041178,-0.316092857222461,0.128564725351728
0.115,-0.0757882365083686,-0.043532105503819,-0.0141581040978504,0.263387176410347,-0.129625081826119,0.0465820444083875,-0.039929821665854,-0.145971299589594,0.00284314016541444,0.0113254895678734,-0.313098242131619,0.127116489267883
0.12,-0.0761538871156459,-0.0440749080245855,-0.0140610194460235,0.269457320642881,-0.131457504886424,0.0472932181415544,-0.0390434134477808,-0.138932435242671,0.00270413658021383,0.0105106144213677,-0.310163560794326,0.125684116973689
0.125,-0.0763159214078599,-0.0449043144870843,-0.0138497735878225,0.275739593517583,-0.13344735744304,0.0480367126338436,-0.0381765514821558,-0.131865159546912,0.00256821151832645,0.00969818386532429,-0.307306929204793,0.124270582803554
0.13,-0.0763290720153854,-0.046061022628326,-0.0135183685141441,0.282243006572034,-0.135593673404605,0.048814970032969,-0.0373325355812344,-0.124812378398494,0.00243498409601135,0.00889673702310977,-0.304545181219403,0.122878760388974
0.135,-0.0762485475243181,-0.0475763621316923,-0.0130627773022456,0.288976181722793,-0.137895658657362,0.0496306408694587,-0.0365139878591847,-0.117816016144026,0.00230408021152147,0.00811431783324795,-0.301893541310592,0.121511358906228
0.14,-0.0761286167841977,-0.0494718671516131,-0.0124809796216981,0.295946956820775,-0.14035263407743,0.0504865147025194,-0.0357228796310425,-0.110916218007654,0.00217514336799532,0.00735832036309162,-0.299365355630079,0.120170869896916
0.145,-0.0760212366778705,-0.0517591312457819,-0.0117729474286614,0.303161945365751,-0.142963951197104,0.0513854407576787,-0.0349605554962422,-0.104150606645594,0.00204784616791434,0.00663536695794598,-0.296971887523131,0.118859526919644
0.15,-0.0759747729058128,-0.054439934764413,-0.0109405846372965,0.31062606598565,-0.145728886475778,0.0523302417171946,-0.0342277480005835,-0.0975536092636387,0.00192190230902532,0.00595122291589887,-0.294722180881661,0.117579279512694
0.155,-0.0760328587874309,-0.0575066272348976,-0.00998762563094312,0.318342059988266,-0.148646521025656,0.0533236240827136,-0.033524578200115,-0.091155870100161,0.00179707885324905,0.00531074947880522,-0.292622991904463,0.116331782090639
0.16,-0.0762334303845128,-0.060942740873345,-0.00891949822359008,0.326310017413465,-0.151715613259068,0.0543680886669729,-0.0328505397334127,-0.0849837610602098,0.00167320848021955,0.00471789497807471,-0.290678787060151,0.11511839750471
0.165,-0.0766079678944867,-0.0647238062125531,-0.00774315711109392,0.334526933370007,-0.154934472248777,0.0554658447885864,-0.0322044664233252,-0.0790590008929124,0.00155020137922787,0.00417572209915014,-0.288891802435824,0.113940214114066
0.17,-0.0771809638170546,-0.0688183370516511,-0.00646689398794664,0.342986316864272,-0.158300839623821,0.0566187316448021,-0.0315844857502383,-0.0733983905636536,0.00142805638142984,0.00368646755208545,-0.287262157312698,0.112798074391913
0.175,-0.077969628471978,-0.0731889495298716,-0.00510013039051317,0.351677873685537,-0.161811787566445,0.0578281501276194,-0.0309879625631813,-0.0680136694396908,0.00130687089226255,0.00325162905817695,-0.285788012841345,0.111692612374161
0.18,-0.078983833618076,-0.0777935790627765,-0.00365319901247076,0.360587283128696,-0.165463639940827,0.0590950080369275,-0.0304114389641688,-0.062911493664589,0.00118684915583064,0.00287207355406342,-0.28446576518163,0.110624296691199
0.185,-0.080226285698942,-0.0825867590495094,-0.00213711877780491,0.369696085411721,-0.169251922785841,0.0604196812401543,-0.0298505773167913,-0.058093534747149,0.00106830837160056,0.00254815990795138,-0.283290261493678,0.109593475539657
0.19,-0.0816929120142162,-0.0875209265074933,-0.000563368405598474,0.378981692671067,-0.173171349359219,0.0618019928420794,-0.0293001137603825,-0.0535566930539171,0.000951682191127057,0.00227986923250708,-0.282255026757431,0.10860041977397
0.195,-0.0833734361544192,-0.0925477219198812,0.00105633739104308,0.3884175315724,-0.177215843648734,0.0632412118722148,-0.0287538294864505,-0.0492934176976171,0.000837521149702756,0.00206693602678823,-0.281352489571854,0.107645360338997
0.2,-0.0852521134873921,-0.0976192533707708,0.002710265519329,0.397973320112987,-0.181378604790376,0.0647360723818178,-0.0282045464333531,-0.0452921213830238,0.000726489634793849,0.00190897382213636,-0.280574195821788,0.106728516524225
0.205,-0.0873085933887931,-0.102689298267927,0.00438687293477152,0.407615475426893,-0.185652213181717,0.066284813179689,-0.027644153085708,-0.041537676225709,0.000619359059285375,0.00180558966837555,-0.279911000353346,0.105850111985322
0.21,-0.0895188722415251,-0.107714419399455,0.00607500337347177,0.417307643669801,-0.190028777286201,0.0678852377377002,-0.0270636648399565,-0.0380119745041917,0.000516996992046813,0.00175648260110393,-0.279353228494374,0.105010376126904
