profile	scenario	n	our_rmse_mean	our_rmse_std	nature_rmse_mean	nature_rmse_std	rmse_delta_mean	rmse_delta_std	our_r2_mean	our_r2_std	nature_r2_mean	nature_r2_std	r2_delta_mean	r2_delta_std	our_wrong_mean	our_wrong_std	our_ungated_wrong_mean	our_ungated_wrong_std	gate_wrong_delta_mean	gate_wrong_delta_std	nature_wrong_mean	nature_wrong_std	wrong_delta_mean	wrong_delta_std	our_retained_mean	our_retained_std	our_ungated_retained_mean	our_ungated_retained_std	gate_retained_delta_mean	gate_retained_delta_std	gate_retained_ratio_mean	gate_retained_ratio_std	nature_retained_mean	nature_retained_std	retained_delta_mean	retained_delta_std	ungated_retained_delta_mean	ungated_retained_delta_std	mean_gate_mean	mean_gate_std	cl_net_moment_rms_reduction_ratio_mean	cl_net_moment_rms_reduction_ratio_std	cl_abs_work_reduction_ratio_mean	cl_abs_work_reduction_ratio_std	cl_fight_fraction_mean	cl_fight_fraction_std
human	test_id/clean	40.0000	0.1855	0.0232	0.1606	0.0078	0.0249	0.0238	0.7483	0.0441	0.8094	0.0282	-0.0611	0.0562	0.0830	0.0177	0.0834	0.0179	-0.0004	0.0006	0.0571	0.0071	0.0259	0.0177	0.7566	0.0734	0.7776	0.0682	-0.0210	0.0163	0.9723	0.0238	0.9433	0.0386	-0.1868	0.0691	-0.1657	0.0629	0.9847	0.0113	0.1016	0.0106	0.1045	0.0101	0.1988	0.0207
human	test_id/encoder_dropout	37.0000	0.2392	0.0364	0.2969	0.0214	-0.0577	0.0367	0.5753	0.1352	0.3602	0.0320	0.2151	0.1424	0.1308	0.0452	0.1367	0.0425	-0.0059	0.0077	0.1865	0.0143	-0.0557	0.0470	0.4688	0.1076	0.5825	0.1140	-0.1137	0.1117	0.8208	0.1679	0.5666	0.0532	-0.0979	0.1241	0.0158	0.1148	0.9064	0.0894	0.0567	0.0167	0.0634	0.0172	0.2369	0.0353
human	test_id/imu_bias	37.0000	0.1872	0.0237	0.1674	0.0076	0.0198	0.0246	0.7448	0.0442	0.7938	0.0316	-0.0490	0.0593	0.0844	0.0182	0.0849	0.0184	-0.0005	0.0007	0.0624	0.0078	0.0220	0.0184	0.7411	0.0730	0.7595	0.0674	-0.0185	0.0155	0.9750	0.0233	0.9418	0.0433	-0.2008	0.0726	-0.1823	0.0663	0.9855	0.0114	0.0990	0.0107	0.1016	0.0100	0.2015	0.0214
human	test_id/insole_missing	37.0000	0.2219	0.0282	0.2671	0.0201	-0.0451	0.0249	0.6377	0.0879	0.4821	0.0283	0.1555	0.0873	0.1128	0.0360	0.1144	0.0351	-0.0017	0.0023	0.1870	0.0288	-0.0742	0.0466	0.5325	0.0944	0.5996	0.1033	-0.0671	0.0698	0.8954	0.1079	0.4272	0.0231	0.1053	0.0941	0.1724	0.1000	0.9460	0.0578	0.0686	0.0156	0.0804	0.0126	0.2186	0.0319
human	test_id/packet_loss	37.0000	0.1868	0.0237	0.1617	0.0081	0.0250	0.0242	0.7459	0.0452	0.8075	0.0295	-0.0616	0.0575	0.0837	0.0181	0.0842	0.0184	-0.0005	0.0008	0.0578	0.0074	0.0259	0.0180	0.7523	0.0760	0.7746	0.0701	-0.0224	0.0170	0.9704	0.0255	0.9406	0.0397	-0.1883	0.0723	-0.1659	0.0652	0.9812	0.0129	0.1008	0.0111	0.1033	0.0105	0.1999	0.0215
human	test_id/packet_loss_burst	37.0000	0.1878	0.0233	0.1643	0.0080	0.0235	0.0238	0.7431	0.0447	0.8013	0.0301	-0.0582	0.0570	0.0840	0.0179	0.0847	0.0183	-0.0007	0.0014	0.0593	0.0075	0.0247	0.0177	0.7439	0.0770	0.7730	0.0699	-0.0291	0.0204	0.9615	0.0311	0.9373	0.0399	-0.1935	0.0750	-0.1644	0.0650	0.9712	0.0202	0.0991	0.0112	0.1012	0.0105	0.2020	0.0217
human	test_id/packet_loss_partial	37.0000	0.1867	0.0237	0.1617	0.0081	0.0250	0.0242	0.7461	0.0453	0.8076	0.0295	-0.0615	0.0575	0.0837	0.0181	0.0842	0.0184	-0.0005	0.0008	0.0578	0.0074	0.0259	0.0180	0.7532	0.0761	0.7746	0.0701	-0.0214	0.0169	0.9716	0.0251	0.9406	0.0397	-0.1874	0.0722	-0.1660	0.0651	0.9824	0.0126	0.1009	0.0111	0.1034	0.0105	0.1999	0.0216
human	test_id/sensor_delay	37.0000	0.2342	0.0259	0.2740	0.0092	-0.0398	0.0255	0.5974	0.0821	0.4495	0.0637	0.1479	0.0942	0.1194	0.0231	0.1211	0.0234	-0.0017	0.0022	0.1502	0.0130	-0.0308	0.0227	0.6561	0.0730	0.6953	0.0664	-0.0392	0.0378	0.9436	0.0539	0.7894	0.0337	-0.1333	0.0728	-0.0941	0.0628	0.9734	0.0230	0.0709	0.0115	0.0617	0.0133	0.2666	0.0288
human	test_id/sensor_delay_jitter	37.0000	0.2356	0.0238	0.2720	0.0096	-0.0364	0.0234	0.5931	0.0751	0.4577	0.0623	0.1355	0.0867	0.1211	0.0227	0.1231	0.0230	-0.0021	0.0026	0.1494	0.0127	-0.0283	0.0218	0.6502	0.0745	0.6933	0.0676	-0.0431	0.0420	0.9380	0.0596	0.7879	0.0348	-0.1377	0.0750	-0.0946	0.0640	0.9696	0.0268	0.0708	0.0114	0.0617	0.0130	0.2666	0.0283
human	test_id/stuck_imu	37.0000	0.1975	0.0213	0.1962	0.0061	0.0013	0.0189	0.7163	0.0389	0.7180	0.0296	-0.0017	0.0492	0.0947	0.0189	0.0982	0.0182	-0.0035	0.0045	0.0948	0.0112	-0.0001	0.0193	0.6527	0.0837	0.7143	0.0738	-0.0616	0.0545	0.9140	0.0757	0.8260	0.0503	-0.1733	0.0855	-0.1117	0.0743	0.9361	0.0540	0.0889	0.0123	0.0847	0.0128	0.2129	0.0216
