run_family	training_mode	profile	detector	n	auroc_mean	auroc_std	best_signal_auroc_mean	best_signal_auroc_std	auroc_logit_mean	auroc_logit_std	auroc_aleatoric_mean	auroc_aleatoric_std	auroc_residual_mean	auroc_residual_std	auroc_forecast_mean	auroc_forecast_std	auroc_epistemic_mean	auroc_epistemic_std	auroc_staleness_mean	auroc_staleness_std	auroc_coherence_mean	auroc_coherence_std	auroc_drift_mean	auroc_drift_std
ablation	det_aug	human	fault_detection/test_id/encoder_dropout	3.0000	0.9455	0.0003	0.9772	0.0043	0.9772	0.0043	0.2905	0.3374					0.7178	0.0641	0.9459	0.0002	0.4999	0.0000	0.4825	0.0002
ablation	det_aug	human	fault_detection/test_id/imu_bias	3.0000	0.5367	0.0233	0.5642	0.0361	0.5641	0.0361	0.4892	0.0614					0.4862	0.0121	0.5023	0.0001	0.4999	0.0001	0.5138	0.0005
ablation	det_aug	human	fault_detection/test_id/insole_missing	3.0000	0.9242	0.0121	0.9813	0.0207	0.9813	0.0207	0.3420	0.5186					0.6424	0.0345	0.8581	0.0010	0.4999	0.0000	0.3183	0.0015
ablation	det_aug	human	fault_detection/test_id/packet_loss	3.0000	0.8907	0.0062	0.9375	0.0005	0.4995	0.0001	0.4999	0.0004					0.4968	0.0095	0.9375	0.0005	0.4794	0.0046	0.5000	0.0001
ablation	det_aug	human	fault_detection/test_id/packet_loss_burst	3.0000	0.7701	0.0126	0.9212	0.0017	0.4992	0.0006	0.5006	0.0002					0.5000	0.0063	0.9212	0.0017	0.0549	0.0043	0.5020	0.0007
ablation	det_aug	human	fault_detection/test_id/packet_loss_partial	3.0000	0.9422	0.0002	1.0000	0.0000	0.4998	0.0002	0.5000	0.0002					0.4996	0.0017	0.9388	0.0003	1.0000	0.0000	0.5000	0.0003
ablation	det_aug	human	fault_detection/test_id/sensor_delay	3.0000	0.8762	0.0014	0.9531	0.0000	0.5295	0.0248	0.4928	0.0465					0.5359	0.0117	0.4970	0.0000	0.9531	0.0000	0.5088	0.0001
ablation	det_aug	human	fault_detection/test_id/sensor_delay_jitter	3.0000	0.8566	0.0067	0.9348	0.0096	0.5428	0.0277	0.4887	0.0548					0.5499	0.0016	0.4969	0.0008	0.9348	0.0096	0.5107	0.0034
ablation	det_aug	human	fault_detection/test_id/stuck_imu	3.0000	0.9651	0.0002	1.0000	0.0000	0.6092	0.0230	0.4866	0.0939					0.5713	0.0156	0.9648	0.0002	1.0000	0.0000	0.4924	0.0005
ablation	det_aug	human	fault_detection/test_ood/encoder_dropout	3.0000	0.9865	0.0005	0.9809	0.0004	0.9485	0.0190	0.3777	0.2020					0.5706	0.0615	0.9809	0.0004	0.5005	0.0001	0.4887	0.0002
ablation	det_aug	human	fault_detection/test_ood/imu_bias	3.0000	0.5298	0.0250	0.5552	0.0132	0.5389	0.0307	0.4952	0.0627					0.4744	0.0116	0.5024	0.0002	0.4997	0.0001	0.5004	0.0002
ablation	det_aug	human	fault_detection/test_ood/insole_missing	3.0000	0.9508	0.0165	0.9825	0.0103	0.9825	0.0103	0.3937	0.4675					0.5767	0.0421	0.8417	0.0013	0.5005	0.0001	0.2930	0.0021
