profile	detector	n	auroc_mean	auroc_std	best_signal_auroc_mean	best_signal_auroc_std	auroc_logit_mean	auroc_logit_std	auroc_aleatoric_mean	auroc_aleatoric_std	auroc_residual_mean	auroc_residual_std	auroc_forecast_mean	auroc_forecast_std	auroc_epistemic_mean	auroc_epistemic_std	auroc_staleness_mean	auroc_staleness_std	auroc_coherence_mean	auroc_coherence_std	auroc_drift_mean	auroc_drift_std
human	fault_detection/test_id/encoder_dropout	37.0000	0.9377	0.0239	0.9465	0.0144	0.6217	0.1223	0.4312	0.1349	0.8107	0.0728	0.7841	0.0681	0.5215	0.0855	0.9440	0.0111	0.4999	0.0001	0.4732	0.0243
human	fault_detection/test_id/imu_bias	37.0000	0.5087	0.0144	0.5358	0.0153	0.5343	0.0172	0.4625	0.0273	0.5040	0.0023	0.5038	0.0021	0.4927	0.0114	0.5020	0.0006	0.4999	0.0002	0.5157	0.0050
human	fault_detection/test_id/insole_missing	37.0000	0.8210	0.1084	0.8801	0.0650	0.5382	0.1668	0.4196	0.1597	0.8271	0.1241	0.7919	0.1228	0.4350	0.0930	0.8433	0.0318	0.4999	0.0001	0.3343	0.0391
human	fault_detection/test_id/packet_loss	37.0000	0.8818	0.0521	0.9305	0.0168	0.4995	0.0003	0.4999	0.0003	0.5008	0.0004	0.5047	0.0026	0.4994	0.0086	0.9305	0.0168	0.4774	0.0078	0.4999	0.0003
human	fault_detection/test_id/packet_loss@0.05	3.0000	0.5376	0.0019	0.7652	0.0012	0.4998	0.0002	0.4999	0.0001	0.5002	0.0001	0.5033	0.0005	0.5062	0.0052	0.7652	0.0012	0.5242	0.0010	0.5001	0.0001
human	fault_detection/test_id/packet_loss@0.15	3.0000	0.8733	0.0070	0.9378	0.0003	0.4994	0.0001	0.5002	0.0001	0.5007	0.0001	0.5088	0.0019	0.5027	0.0084	0.9378	0.0003	0.4783	0.0034	0.5000	0.0002
human	fault_detection/test_id/packet_loss@0.30	3.0000	0.9613	0.0018	0.9712	0.0001	0.4991	0.0002	0.5000	0.0001	0.5011	0.0002	0.5170	0.0030	0.4999	0.0030	0.9712	0.0001	0.3382	0.0028	0.5005	0.0007
human	fault_detection/test_id/packet_loss_burst	37.0000	0.7984	0.0854	0.9102	0.0225	0.4987	0.0006	0.5005	0.0009	0.5032	0.0010	0.5086	0.0045	0.4994	0.0090	0.9102	0.0225	0.0620	0.0151	0.5023	0.0017
human	fault_detection/test_id/packet_loss_burst@0.05	3.0000	0.4407	0.0062	0.7560	0.0010	0.4996	0.0003	0.4999	0.0002	0.5002	0.0005	0.5046	0.0016	0.5036	0.0109	0.7560	0.0010	0.3736	0.0013	0.5002	0.0002
human	fault_detection/test_id/packet_loss_burst@0.15	3.0000	0.7335	0.0121	0.9202	0.0026	0.4983	0.0006	0.5012	0.0003	0.5037	0.0002	0.5155	0.0020	0.5010	0.0052	0.9202	0.0026	0.0492	0.0051	0.5022	0.0008
human	fault_detection/test_id/packet_loss_partial	37.0000	0.9185	0.0300	0.9997	0.0013	0.4994	0.0004	0.5001	0.0003	0.5013	0.0004	0.5046	0.0028	0.4980	0.0078	0.9318	0.0172	0.9997	0.0013	0.5001	0.0004
human	fault_detection/test_id/packet_loss_partial@0.15	3.0000	0.9150	0.0056	1.0000	0.0000	0.4996	0.0001	0.5001	0.0001	0.5014	0.0001	0.5085	0.0018	0.5040	0.0038	0.9391	0.0001	1.0000	0.0000	0.5002	0.0003
human	fault_detection/test_id/sensor_delay	37.0000	0.7444	0.1726	0.9496	0.0141	0.4566	0.0320	0.5333	0.0325	0.5694	0.0376	0.5558	0.0314	0.4978	0.0238	0.4978	0.0015	0.9496	0.0141	0.5113	0.0046
human	fault_detection/test_id/sensor_delay@10	3.0000	0.8782	0.0089	0.9531	0.0000	0.4383	0.0092	0.5702	0.0083	0.6114	0.0122	0.5985	0.0097	0.5119	0.0035	0.4970	0.0001	0.9531	0.0000	0.5090	0.0001
human	fault_detection/test_id/sensor_delay@20	3.0000	0.8993	0.0100	0.9498	0.0000	0.4020	0.0187	0.6388	0.0135	0.6917	0.0164	0.6763	0.0137	0.5639	0.0147	0.4937	0.0001	0.9498	0.0000	0.5401	0.0003
human	fault_detection/test_id/sensor_delay@5	3.0000	0.8638	0.0086	0.9569	0.0000	0.4675	0.0033	0.5307	0.0040	0.5479	0.0060	0.5392	0.0042	0.4938	0.0094	0.4985	0.0000	0.9569	0.0000	0.5011	0.0001
human	fault_detection/test_id/sensor_delay_jitter	37.0000	0.7335	0.1651	0.9330	0.0151	0.4561	0.0352	0.5344	0.0348	0.5775	0.0361	0.5641	0.0303	0.5022	0.0267	0.4977	0.0016	0.9330	0.0151	0.5127	0.0052
human	fault_detection/test_id/sensor_delay_jitter@10	3.0000	0.8662	0.0061	0.9340	0.0077	0.4423	0.0096	0.5707	0.0070	0.6156	0.0138	0.6029	0.0110	0.5234	0.0031	0.4968	0.0005	0.9340	0.0077	0.5116	0.0015
human	fault_detection/test_id/sensor_delay_jitter@20	3.0000	0.9047	0.0094	0.9710	0.0029	0.4047	0.0177	0.6371	0.0122	0.6909	0.0145	0.6767	0.0115	0.5569	0.0174	0.4935	0.0007	0.9710	0.0029	0.5444	0.0009
human	fault_detection/test_id/stuck_imu	37.0000	0.9582	0.0159	1.0000	0.0000	0.4810	0.0417	0.5292	0.0330	0.6141	0.0393	0.5978	0.0353	0.5214	0.0300	0.9646	0.0106	1.0000	0.0000	0.4905	0.0049
human	fault_detection/test_ood/encoder_dropout	37.0000	0.9349	0.0560	0.9785	0.0126	0.5952	0.1405	0.4004	0.1491	0.6264	0.0717	0.6068	0.0683	0.4026	0.1091	0.9785	0.0126	0.5002	0.0005	0.4759	0.0302
human	fault_detection/test_ood/imu_bias	37.0000	0.5111	0.0176	0.5409	0.0173	0.5396	0.0180	0.4666	0.0274	0.5070	0.0029	0.5070	0.0026	0.4840	0.0149	0.5024	0.0010	0.4999	0.0004	0.5019	0.0025
human	fault_detection/test_ood/insole_missing	37.0000	0.8170	0.0809	0.8652	0.0477	0.5135	0.1844	0.3949	0.1863	0.7453	0.0851	0.7146	0.0762	0.3708	0.1016	0.8499	0.0311	0.5002	0.0005	0.3140	0.0458
human	fault_detection/test_ood/packet_loss	37.0000	0.8742	0.0797	0.9586	0.0176	0.4993	0.0006	0.4999	0.0005	0.5007	0.0008	0.5045	0.0026	0.4963	0.0154	0.9586	0.0176	0.4573	0.0122	0.5004	0.0007
human	fault_detection/test_ood/packet_loss@0.05	3.0000	0.5797	0.0052	0.6993	0.0038	0.4995	0.0002	0.5000	0.0004	0.5003	0.0001	0.5039	0.0008	0.5044	0.0259	0.6993	0.0038	0.5053	0.0056	0.5000	0.0003
human	fault_detection/test_ood/packet_loss@0.15	3.0000	0.7904	0.0023	0.9579	0.0016	0.4993	0.0001	0.4999	0.0004	0.5004	0.0005	0.5076	0.0015	0.5003	0.0072	0.9579	0.0016	0.4567	0.0061	0.4999	0.0003
human	fault_detection/test_ood/packet_loss@0.30	3.0000	0.9138	0.0046	0.9999	0.0001	0.4992	0.0002	0.5000	0.0005	0.5012	0.0007	0.5139	0.0027	0.5097	0.0148	0.9999	0.0001	0.3152	0.0060	0.5007	0.0003
human	fault_detection/test_ood/packet_loss_burst	37.0000	0.8287	0.0792	0.9215	0.0183	0.4993	0.0014	0.4998	0.0011	0.5017	0.0009	0.5061	0.0032	0.5001	0.0119	0.9215	0.0183	0.0611	0.0210	0.5013	0.0014
human	fault_detection/test_ood/packet_loss_burst@0.05	3.0000	0.5604	0.0083	0.6997	0.0040	0.4999	0.0005	0.5002	0.0007	0.5006	0.0003	0.5042	0.0009	0.4987	0.0103	0.6997	0.0040	0.3557	0.0110	0.5008	0.0004
human	fault_detection/test_ood/packet_loss_burst@0.15	3.0000	0.7594	0.0038	0.9247	0.0050	0.4990	0.0010	0.5009	0.0016	0.5003	0.0016	0.5088	0.0028	0.5087	0.0090	0.9247	0.0050	0.0509	0.0075	0.5004	0.0011
human	fault_detection/test_ood/packet_loss_partial	37.0000	0.9050	0.0841	0.9995	0.0014	0.4995	0.0006	0.4999	0.0005	0.5012	0.0009	0.5045	0.0023	0.5013	0.0144	0.9595	0.0168	0.9995	0.0014	0.5002	0.0006
human	fault_detection/test_ood/packet_loss_partial@0.15	3.0000	0.8128	0.0040	1.0000	0.0000	0.4994	0.0002	0.5001	0.0001	0.5011	0.0002	0.5073	0.0007	0.5000	0.0082	0.9606	0.0005	1.0000	0.0000	0.5001	0.0006
human	fault_detection/test_ood/sensor_delay	37.0000	0.7218	0.1633	0.9829	0.0138	0.4796	0.0172	0.5079	0.0143	0.5310	0.0127	0.5269	0.0105	0.4957	0.0225	0.4988	0.0014	0.9829	0.0138	0.5057	0.0039
human	fault_detection/test_ood/sensor_delay@10	3.0000	0.7735	0.0055	0.9890	0.0000	0.4800	0.0020	0.5152	0.0031	0.5447	0.0049	0.5389	0.0046	0.4984	0.0032	0.4983	0.0001	0.9890	0.0000	0.5044	0.0005
human	fault_detection/test_ood/sensor_delay@20	3.0000	0.7883	0.0069	0.9766	0.0000	0.4716	0.0027	0.5299	0.0124	0.5934	0.0104	0.5859	0.0089	0.5172	0.0057	0.4982	0.0003	0.9766	0.0000	0.5226	0.0005
human	fault_detection/test_ood/sensor_delay@5	3.0000	0.7515	0.0080	0.9749	0.0000	0.4883	0.0018	0.5065	0.0003	0.5171	0.0022	0.5139	0.0017	0.5041	0.0092	0.4988	0.0002	0.9749	0.0000	0.5010	0.0004
human	fault_detection/test_ood/sensor_delay_jitter	37.0000	0.7086	0.1499	0.9568	0.0214	0.4783	0.0189	0.5073	0.0142	0.5349	0.0132	0.5305	0.0109	0.4976	0.0149	0.4990	0.0016	0.9568	0.0214	0.5058	0.0042
human	fault_detection/test_ood/sensor_delay_jitter@10	3.0000	0.7619	0.0081	0.9608	0.0021	0.4809	0.0022	0.5153	0.0037	0.5462	0.0077	0.5413	0.0070	0.4923	0.0083	0.4983	0.0004	0.9608	0.0021	0.5060	0.0006
human	fault_detection/test_ood/sensor_delay_jitter@20	3.0000	0.7940	0.0070	0.9769	0.0052	0.4723	0.0035	0.5308	0.0102	0.5935	0.0092	0.5866	0.0086	0.5241	0.0166	0.4985	0.0002	0.9769	0.0052	0.5224	0.0025
human	fault_detection/test_ood/stuck_imu	37.0000	0.9318	0.0826	1.0000	0.0000	0.4843	0.0137	0.5070	0.0085	0.4742	0.0113	0.4733	0.0105	0.5027	0.0200	0.9937	0.0099	1.0000	0.0000	0.4994	0.0009
human	fault_detection/train/encoder_dropout	37.0000	0.9338	0.0200	0.9411	0.0119	0.6003	0.1262	0.4441	0.1381	0.8379	0.0484	0.8126	0.0446	0.5289	0.0962	0.9377	0.0016	0.5000	0.0000	0.4606	0.0011
human	fault_detection/train/imu_bias	37.0000	0.5067	0.0104	0.5338	0.0142	0.5318	0.0167	0.4632	0.0264	0.5040	0.0022	0.5036	0.0018	0.4893	0.0074	0.5010	0.0001	0.5000	0.0000	0.5189	0.0016
human	fault_detection/train/insole_missing	37.0000	0.8002	0.0966	0.8496	0.0594	0.5307	0.1591	0.4206	0.1524	0.8310	0.0706	0.7974	0.0673	0.4348	0.0801	0.8066	0.0060	0.5000	0.0000	0.3658	0.0032
human	fault_detection/train/packet_loss	37.0000	0.8709	0.0431	0.9130	0.0024	0.4997	0.0001	0.5000	0.0001	0.5006	0.0001	0.5040	0.0029	0.4987	0.0024	0.9130	0.0024	0.4754	0.0017	0.5002	0.0001
human	fault_detection/train/packet_loss@0.05	3.0000	0.5617	0.0016	0.7038	0.0011	0.4999	0.0000	0.5000	0.0000	0.5002	0.0000	0.5027	0.0005	0.4988	0.0012	0.7038	0.0011	0.5148	0.0004	0.5000	0.0000
human	fault_detection/train/packet_loss@0.15	3.0000	0.8529	0.0018	0.9121	0.0002	0.4997	0.0001	0.5001	0.0000	0.5006	0.0001	0.5083	0.0013	0.5018	0.0030	0.9121	0.0002	0.4755	0.0018	0.5001	0.0001
human	fault_detection/train/packet_loss@0.30	3.0000	0.9664	0.0012	0.9836	0.0001	0.4993	0.0001	0.5001	0.0000	0.5015	0.0001	0.5179	0.0030	0.5007	0.0010	0.9836	0.0001	0.3451	0.0014	0.5004	0.0001
human	fault_detection/train/packet_loss_burst	37.0000	0.8028	0.0739	0.8861	0.0034	0.4988	0.0004	0.5004	0.0005	0.5031	0.0005	0.5084	0.0045	0.4999	0.0022	0.8861	0.0034	0.0788	0.0023	0.5027	0.0004
human	fault_detection/train/packet_loss_burst@0.05	3.0000	0.5061	0.0010	0.6963	0.0009	0.4997	0.0000	0.5001	0.0000	0.5004	0.0001	0.5042	0.0007	0.4979	0.0043	0.6963	0.0009	0.3815	0.0016	0.5001	0.0001
human	fault_detection/train/packet_loss_burst@0.15	3.0000	0.7650	0.0063	0.8835	0.0024	0.4986	0.0003	0.5009	0.0002	0.5034	0.0002	0.5146	0.0017	0.4981	0.0016	0.8835	0.0024	0.0803	0.0018	0.5026	0.0003
human	fault_detection/train/packet_loss_partial	37.0000	0.9033	0.0255	0.9989	0.0002	0.4997	0.0001	0.5000	0.0001	0.5011	0.0002	0.5039	0.0029	0.4998	0.0018	0.9150	0.0024	0.9989	0.0002	0.5001	0.0001
human	fault_detection/train/packet_loss_partial@0.15	3.0000	0.8785	0.0026	0.9989	0.0000	0.4996	0.0000	0.5001	0.0001	0.5012	0.0001	0.5081	0.0015	0.5004	0.0019	0.9143	0.0003	0.9989	0.0000	0.5001	0.0001
human	fault_detection/train/sensor_delay	37.0000	0.7092	0.1412	0.9385	0.0020	0.4525	0.0300	0.5336	0.0346	0.5644	0.0299	0.5521	0.0245	0.4931	0.0204	0.4987	0.0001	0.9385	0.0020	0.5150	0.0005
human	fault_detection/train/sensor_delay@10	3.0000	0.8048	0.0065	0.9374	0.0000	0.4331	0.0112	0.5741	0.0057	0.5986	0.0090	0.5863	0.0072	0.5064	0.0062	0.4987	0.0000	0.9374	0.0000	0.5152	0.0001
human	fault_detection/train/sensor_delay@20	3.0000	0.8570	0.0069	0.9664	0.0000	0.4008	0.0155	0.6403	0.0068	0.6652	0.0134	0.6507	0.0105	0.5495	0.0103	0.4974	0.0000	0.9664	0.0000	0.5521	0.0002
human	fault_detection/train/sensor_delay@5	3.0000	0.7748	0.0044	0.9355	0.0000	0.4630	0.0056	0.5331	0.0032	0.5440	0.0058	0.5349	0.0045	0.4951	0.0020	0.4994	0.0000	0.9355	0.0000	0.5041	0.0000
human	fault_detection/train/sensor_delay_jitter	37.0000	0.7026	0.1366	0.9216	0.0030	0.4521	0.0312	0.5347	0.0355	0.5733	0.0271	0.5610	0.0221	0.4965	0.0209	0.4988	0.0002	0.9216	0.0030	0.5162	0.0008
human	fault_detection/train/sensor_delay_jitter@10	3.0000	0.7997	0.0068	0.9233	0.0014	0.4366	0.0108	0.5758	0.0049	0.6047	0.0087	0.5924	0.0066	0.5134	0.0046	0.4987	0.0001	0.9233	0.0014	0.5168	0.0004
human	fault_detection/train/sensor_delay_jitter@20	3.0000	0.8481	0.0076	0.9540	0.0010	0.4027	0.0141	0.6365	0.0051	0.6692	0.0123	0.6544	0.0100	0.5505	0.0073	0.4977	0.0000	0.9540	0.0010	0.5579	0.0012
human	fault_detection/train/stuck_imu	37.0000	0.9599	0.0119	1.0000	0.0000	0.4751	0.0451	0.5291	0.0325	0.6170	0.0345	0.6008	0.0311	0.5168	0.0271	0.9657	0.0014	1.0000	0.0000	0.4873	0.0004
human	fault_detection/val/encoder_dropout	37.0000	0.9257	0.0177	0.9388	0.0120	0.6167	0.1182	0.4447	0.1380	0.7985	0.0678	0.7751	0.0663	0.5322	0.0844	0.9371	0.0109	0.4999	0.0001	0.4712	0.0236
human	fault_detection/val/imu_bias	37.0000	0.5081	0.0122	0.5362	0.0124	0.5339	0.0149	0.4612	0.0293	0.5030	0.0035	0.5031	0.0032	0.4908	0.0099	0.5015	0.0004	0.4999	0.0003	0.5155	0.0048
human	fault_detection/val/insole_missing	37.0000	0.8099	0.0923	0.8669	0.0512	0.5541	0.1583	0.3914	0.1455	0.8077	0.1104	0.7750	0.1094	0.4245	0.0807	0.8458	0.0330	0.4999	0.0001	0.3307	0.0403
human	fault_detection/val/packet_loss	37.0000	0.8383	0.0654	0.9198	0.0141	0.4995	0.0002	0.5000	0.0003	0.5009	0.0005	0.5050	0.0031	0.4972	0.0072	0.9198	0.0141	0.4764	0.0078	0.5003	0.0005
human	fault_detection/val/packet_loss@0.05	3.0000	0.5353	0.0032	0.7272	0.0018	0.4998	0.0002	0.5000	0.0001	0.5001	0.0001	0.5035	0.0005	0.5033	0.0044	0.7272	0.0018	0.5202	0.0024	0.5001	0.0000
human	fault_detection/val/packet_loss@0.15	3.0000	0.7698	0.0068	0.9203	0.0012	0.4994	0.0002	0.5001	0.0003	0.5007	0.0002	0.5091	0.0014	0.5015	0.0049	0.9203	0.0012	0.4756	0.0028	0.5004	0.0007
human	fault_detection/val/packet_loss@0.30	3.0000	0.9355	0.0020	0.9667	0.0003	0.4990	0.0001	0.5000	0.0001	0.5016	0.0002	0.5187	0.0030	0.4964	0.0029	0.9667	0.0003	0.3484	0.0032	0.5005	0.0004
