run	report	run_family	profile	training_mode	mode	seed	selected_gate_softness	selected_gate_deadband	detector	auroc	best_signal	best_signal_auroc	auroc_logit	auroc_aleatoric	auroc_residual	auroc_forecast	auroc_epistemic	auroc_staleness	auroc_coherence	auroc_drift
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/test_id/encoder_dropout	0.9458	logit	0.9806	0.9806	0.0246			0.6503	0.9460	0.5000	0.4827
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/test_id/imu_bias	0.5617	logit	0.6025	0.6025	0.4187			0.4953	0.5023	0.4999	0.5139
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/test_id/insole_missing	0.9349	logit	0.9984	0.9984	0.0059			0.6030	0.8592	0.5000	0.3174
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/test_id/packet_loss	0.8859	staleness	0.9377	0.4995	0.5000			0.4949	0.9377	0.4846	0.4999
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/test_id/packet_loss_burst	0.7559	staleness	0.9198	0.4988	0.5006			0.4955	0.9198	0.0508	0.5016
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/test_id/packet_loss_partial	0.9423	coherence	1.0000	0.5001	0.5001			0.4995	0.9392	1.0000	0.5001
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/test_id/sensor_delay	0.8775	coherence	0.9531	0.5581	0.4444			0.5255	0.4970	0.9531	0.5089
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/test_id/sensor_delay_jitter	0.8488	coherence	0.9237	0.5744	0.4372			0.5510	0.4975	0.9237	0.5144
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/test_id/stuck_imu	0.9653	coherence	1.0000	0.6300	0.4053			0.5761	0.9651	1.0000	0.4926
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/test_ood/encoder_dropout	0.9860	staleness	0.9814	0.9542	0.1444			0.5020	0.9814	0.5006	0.4887
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/test_ood/imu_bias	0.5532	logit	0.5681	0.5681	0.4307			0.4768	0.5026	0.4997	0.5005
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/test_ood/insole_missing	0.9666	logit	0.9939	0.9939	0.0160			0.5342	0.8432	0.5006	0.2920
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/test_ood/packet_loss	0.9049	staleness	0.9626	0.4986	0.5000			0.5253	0.9626	0.4587	0.4996
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/test_ood/packet_loss_burst	0.8391	staleness	0.9238	0.4990	0.5003			0.4821	0.9238	0.0452	0.4997
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/test_ood/packet_loss_partial	0.9833	coherence	0.9999	0.4988	0.5001			0.4971	0.9618	0.9999	0.5006
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/test_ood/sensor_delay	0.9318	coherence	0.9890	0.5184	0.4740			0.5155	0.4984	0.9890	0.5042
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/test_ood/sensor_delay_jitter	0.8891	coherence	0.9526	0.5279	0.4708			0.5284	0.4980	0.9526	0.5061
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/test_ood/stuck_imu	0.9972	coherence	1.0000	0.5133	0.4942			0.5340	0.9972	1.0000	0.5000
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/train/encoder_dropout	0.9382	logit	0.9833	0.9833	0.0270			0.6840	0.9382	0.5000	0.4602
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/train/imu_bias	0.5353	logit	0.5949	0.5949	0.4188			0.4935	0.5010	0.4999	0.5187
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/train/insole_missing	0.8838	logit	0.9971	0.9971	0.0169			0.5915	0.8029	0.5000	0.3667
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/train/packet_loss	0.8857	staleness	0.9117	0.4998	0.5000			0.5023	0.9117	0.4748	0.5002
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/train/packet_loss_burst	0.7999	staleness	0.8846	0.4998	0.4997			0.4973	0.8846	0.0802	0.5034
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/train/packet_loss_partial	0.9219	coherence	0.9988	0.4998	0.4999			0.5014	0.9142	0.9988	0.5002
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/train/sensor_delay	0.8060	coherence	0.9374	0.5336	0.4596			0.5372	0.4987	0.9374	0.5152
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/train/sensor_delay_jitter	0.7946	coherence	0.9217	0.5460	0.4552			0.5425	0.4986	0.9217	0.5160
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/train/stuck_imu	0.9670	coherence	1.0000	0.6349	0.4151			0.5801	0.9665	1.0000	0.4872
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/val/encoder_dropout	0.9315	logit	0.9598	0.9598	0.0433			0.6631	0.9348	0.5000	0.4796
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/val/imu_bias	0.5435	logit	0.5716	0.5716	0.4286			0.4811	0.5016	0.5000	0.5136
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/val/insole_missing	0.9327	logit	0.9883	0.9883	0.0178			0.5402	0.8634	0.5000	0.3113
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/val/packet_loss	0.7823	staleness	0.9207	0.4997	0.4999			0.4819	0.9207	0.4844	0.5001
v2_fc_ablation_det_aug_seed13	reports/v2_fc_ablation_det_aug_seed13/reliability_report.json	ablation	human	det_aug	eval	13.0000	8.0000	0.4993	fault_detection/val/packet_loss_burst	0.6972	staleness	0.8997	0.4992	0.4999			0.5078	0.8997	0.0855	0.5039
