main_family	profile	scenario	n	main_rmse_mean	main_rmse_std	baseline_rmse_mean	baseline_rmse_std	rmse_delta_mean	rmse_delta_std	main_r2_mean	main_r2_std	baseline_r2_mean	baseline_r2_std	r2_delta_mean	r2_delta_std	main_ungated_retained_mean	main_ungated_retained_std	baseline_ungated_retained_mean	baseline_ungated_retained_std	ungated_retained_delta_mean	ungated_retained_delta_std
main	human	test_id/clean	3.0000	0.1726	0.0017	0.1616	0.0008	0.0110	0.0024	0.7696	0.0045	0.7980	0.0019	-0.0284	0.0064	0.8091	0.0169	0.8246	0.0175	-0.0155	0.0343
main	human	test_id/encoder_dropout	3.0000	0.2157	0.0043	0.3041	0.0034	-0.0884	0.0069	0.6403	0.0145	0.2851	0.0160	0.3552	0.0273	0.6704	0.0576	0.3858	0.0190	0.2846	0.0674
main	human	test_id/imu_bias	3.0000	0.1737	0.0028	0.1624	0.0015	0.0114	0.0034	0.7666	0.0075	0.7962	0.0038	-0.0296	0.0089	0.7866	0.0132	0.8080	0.0158	-0.0214	0.0288
main	human	test_id/insole_missing	3.0000	0.1946	0.0038	0.2651	0.0043	-0.0704	0.0078	0.7071	0.0114	0.4568	0.0177	0.2503	0.0278	0.6754	0.0153	0.4080	0.0113	0.2673	0.0265
main	human	test_id/packet_loss	3.0000	0.1730	0.0016	0.1621	0.0007	0.0109	0.0023	0.7686	0.0044	0.7969	0.0017	-0.0282	0.0061	0.8085	0.0169	0.8240	0.0173	-0.0155	0.0342
main	human	test_id/packet_loss_burst	3.0000	0.1743	0.0016	0.1637	0.0006	0.0106	0.0021	0.7652	0.0043	0.7929	0.0015	-0.0277	0.0056	0.8068	0.0164	0.8221	0.0175	-0.0154	0.0339
main	human	test_id/packet_loss_partial	3.0000	0.1729	0.0016	0.1620	0.0007	0.0109	0.0024	0.7688	0.0043	0.7970	0.0019	-0.0282	0.0062	0.8085	0.0168	0.8240	0.0175	-0.0154	0.0342
main	human	test_id/sensor_delay	3.0000	0.2075	0.0033	0.2513	0.0041	-0.0439	0.0066	0.6671	0.0106	0.5115	0.0159	0.1556	0.0238	0.7470	0.0114	0.7075	0.0132	0.0395	0.0244
main	human	test_id/sensor_delay_jitter	3.0000	0.2114	0.0036	0.2507	0.0029	-0.0393	0.0064	0.6543	0.0119	0.5140	0.0111	0.1403	0.0228	0.7482	0.0113	0.7033	0.0149	0.0449	0.0262
main	human	test_id/stuck_imu	3.0000	0.1782	0.0030	0.1966	0.0021	-0.0183	0.0045	0.7544	0.0084	0.7013	0.0064	0.0530	0.0129	0.7785	0.0201	0.6936	0.0261	0.0849	0.0462
main	human	test_ood/clean	3.0000	0.2531	0.0023	0.2319	0.0050	0.0213	0.0045	0.7036	0.0053	0.7512	0.0107	-0.0477	0.0098	0.7192	0.0144	0.7876	0.0149	-0.0684	0.0249
main	human	test_ood/encoder_dropout	3.0000	0.3654	0.0062	0.4410	0.0009	-0.0756	0.0071	0.3822	0.0209	0.1001	0.0038	0.2821	0.0246	0.4179	0.0421	0.2363	0.0123	0.1817	0.0321
main	human	test_ood/imu_bias	3.0000	0.2546	0.0022	0.2352	0.0057	0.0194	0.0068	0.7000	0.0051	0.7440	0.0124	-0.0440	0.0151	0.6950	0.0133	0.7634	0.0131	-0.0683	0.0246
main	human	test_ood/insole_missing	3.0000	0.2850	0.0101	0.3618	0.0049	-0.0768	0.0120	0.6238	0.0263	0.3942	0.0163	0.2296	0.0336	0.5841	0.0391	0.3256	0.0080	0.2585	0.0380
main	human	test_ood/packet_loss	3.0000	0.2535	0.0022	0.2322	0.0049	0.0213	0.0045	0.7027	0.0053	0.7505	0.0106	-0.0478	0.0098	0.7188	0.0142	0.7873	0.0149	-0.0685	0.0248
main	human	test_ood/packet_loss_burst	3.0000	0.2544	0.0023	0.2333	0.0051	0.0212	0.0043	0.7004	0.0054	0.7481	0.0111	-0.0477	0.0093	0.7175	0.0144	0.7864	0.0149	-0.0688	0.0247
main	human	test_ood/packet_loss_partial	3.0000	0.2534	0.0023	0.2322	0.0049	0.0212	0.0045	0.7028	0.0053	0.7505	0.0106	-0.0476	0.0097	0.7189	0.0143	0.7874	0.0148	-0.0685	0.0248
main	human	test_ood/sensor_delay	3.0000	0.2930	0.0029	0.3020	0.0031	-0.0089	0.0007	0.6027	0.0078	0.5781	0.0087	0.0245	0.0019	0.6740	0.0145	0.7252	0.0172	-0.0512	0.0217
main	human	test_ood/sensor_delay_jitter	3.0000	0.2937	0.0022	0.2998	0.0017	-0.0062	0.0007	0.6010	0.0060	0.5841	0.0047	0.0169	0.0018	0.6733	0.0143	0.7232	0.0161	-0.0499	0.0220
main	human	test_ood/stuck_imu	3.0000	0.2549	0.0024	0.2403	0.0058	0.0146	0.0046	0.6993	0.0057	0.7326	0.0128	-0.0334	0.0102	0.7090	0.0144	0.7697	0.0154	-0.0607	0.0273
