main_run	main_report	main_family	baseline_run	baseline_report	profile	seed	scenario	main_rmse	baseline_rmse	rmse_delta	main_r2	baseline_r2	r2_delta	main_ungated_retained	baseline_ungated_retained	ungated_retained_delta
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	v2_fc_baseline_det_seed13	reports/v2_fc_baseline_det_seed13/reliability_report.json	human	13.0000	test_id/clean	0.1710	0.1624	0.0086	0.7739	0.7960	-0.0221	0.8217	0.8136	0.0080
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	v2_fc_baseline_det_seed13	reports/v2_fc_baseline_det_seed13/reliability_report.json	human	13.0000	test_ood/clean	0.2538	0.2375	0.0163	0.7020	0.7390	-0.0370	0.7243	0.7706	-0.0464
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	v2_fc_baseline_det_seed13	reports/v2_fc_baseline_det_seed13/reliability_report.json	human	13.0000	test_id/insole_missing	0.1961	0.2610	-0.0650	0.7028	0.4733	0.2295	0.6590	0.4191	0.2398
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	v2_fc_baseline_det_seed13	reports/v2_fc_baseline_det_seed13/reliability_report.json	human	13.0000	test_id/encoder_dropout	0.2207	0.3018	-0.0812	0.6236	0.2958	0.3278	0.6271	0.4068	0.2204
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	v2_fc_baseline_det_seed13	reports/v2_fc_baseline_det_seed13/reliability_report.json	human	13.0000	test_id/imu_bias	0.1710	0.1617	0.0093	0.7739	0.7979	-0.0240	0.7966	0.7983	-0.0016
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	v2_fc_baseline_det_seed13	reports/v2_fc_baseline_det_seed13/reliability_report.json	human	13.0000	test_id/packet_loss	0.1714	0.1628	0.0086	0.7729	0.7951	-0.0222	0.8212	0.8132	0.0080
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	v2_fc_baseline_det_seed13	reports/v2_fc_baseline_det_seed13/reliability_report.json	human	13.0000	test_id/stuck_imu	0.1759	0.1959	-0.0200	0.7609	0.7035	0.0574	0.7888	0.6778	0.1111
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	v2_fc_baseline_det_seed13	reports/v2_fc_baseline_det_seed13/reliability_report.json	human	13.0000	test_id/packet_loss_burst	0.1727	0.1643	0.0084	0.7695	0.7913	-0.0218	0.8187	0.8112	0.0075
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	v2_fc_baseline_det_seed13	reports/v2_fc_baseline_det_seed13/reliability_report.json	human	13.0000	test_id/packet_loss_partial	0.1713	0.1628	0.0086	0.7730	0.7952	-0.0221	0.8209	0.8131	0.0078
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	v2_fc_baseline_det_seed13	reports/v2_fc_baseline_det_seed13/reliability_report.json	human	13.0000	test_id/sensor_delay	0.2102	0.2467	-0.0364	0.6583	0.5297	0.1287	0.7557	0.7008	0.0549
