training_mode	profile	detector	n	auroc_mean	auroc_std	auroc_online_mean	auroc_online_std	best_signal_auroc_mean	best_signal_auroc_std	auroc_logit_mean	auroc_logit_std	auroc_aleatoric_mean	auroc_aleatoric_std	auroc_residual_mean	auroc_residual_std	auroc_forecast_mean	auroc_forecast_std	auroc_epistemic_mean	auroc_epistemic_std	auroc_staleness_mean	auroc_staleness_std	auroc_coherence_mean	auroc_coherence_std	auroc_drift_mean	auroc_drift_std
prob_aug_recon_fc	human	fault_detection/test_id/encoder_dropout	3.0000	0.9513	0.0069	0.9513	0.0069	0.9460	0.0002	0.6380	0.0109	0.4738	0.0411	0.8719	0.0267	0.8555	0.0260	0.5418	0.0370	0.9460	0.0002	0.4999	0.0000	0.4827	0.0004
prob_aug_recon_fc	human	fault_detection/test_id/imu_bias	3.0000	0.5017	0.0012	0.5044	0.0010	0.5341	0.0034	0.5341	0.0034	0.4559	0.0001	0.5043	0.0026	0.5042	0.0024	0.4833	0.0049	0.5022	0.0002	0.4999	0.0001	0.5139	0.0002
prob_aug_recon_fc	human	fault_detection/test_id/insole_missing	3.0000	0.9278	0.0126	0.9397	0.0093	0.9453	0.0144	0.4777	0.0545	0.4699	0.0578	0.9453	0.0144	0.9295	0.0130	0.4484	0.0181	0.8589	0.0005	0.4999	0.0000	0.3185	0.0016
prob_aug_recon_fc	human	fault_detection/test_id/packet_loss	3.0000	0.8754	0.0081	0.9077	0.0064	0.9379	0.0005	0.4994	0.0001	0.4998	0.0001	0.5006	0.0001	0.5085	0.0015	0.4930	0.0029	0.9379	0.0005	0.4794	0.0046	0.5000	0.0001
prob_aug_recon_fc	human	fault_detection/test_id/packet_loss_burst	3.0000	0.7430	0.0195	0.8859	0.0042	0.9217	0.0018	0.4982	0.0007	0.5014	0.0003	0.5036	0.0005	0.5152	0.0017	0.5007	0.0025	0.9217	0.0018	0.0549	0.0043	0.5022	0.0008
prob_aug_recon_fc	human	fault_detection/test_id/packet_loss_partial	3.0000	0.9149	0.0055	0.9091	0.0057	1.0000	0.0000	0.4995	0.0001	0.5003	0.0003	0.5014	0.0003	0.5088	0.0015	0.4952	0.0030	0.9391	0.0003	1.0000	0.0000	0.5001	0.0003
prob_aug_recon_fc	human	fault_detection/test_id/sensor_delay	3.0000	0.8782	0.0089	0.6282	0.0157	0.9531	0.0000	0.4383	0.0092	0.5702	0.0083	0.6114	0.0122	0.5985	0.0097	0.5154	0.0047	0.4970	0.0001	0.9531	0.0000	0.5090	0.0001
prob_aug_recon_fc	human	fault_detection/test_id/sensor_delay_jitter	3.0000	0.8670	0.0133	0.6407	0.0229	0.9348	0.0096	0.4401	0.0090	0.5730	0.0054	0.6175	0.0118	0.6050	0.0094	0.5198	0.0159	0.4969	0.0008	0.9348	0.0096	0.5106	0.0036
prob_aug_recon_fc	human	fault_detection/test_id/stuck_imu	3.0000	0.9598	0.0004	0.9596	0.0005	1.0000	0.0000	0.4789	0.0092	0.5437	0.0046	0.6595	0.0093	0.6454	0.0056	0.5295	0.0066	0.9650	0.0002	1.0000	0.0000	0.4922	0.0004
prob_aug_recon_fc	human	fault_detection/test_ood/encoder_dropout	3.0000	0.8874	0.0052	0.8874	0.0052	0.9814	0.0002	0.6071	0.0368	0.3993	0.0403	0.6584	0.0378	0.6435	0.0341	0.4352	0.0483	0.9814	0.0002	0.5005	0.0001	0.4889	0.0004
prob_aug_recon_fc	human	fault_detection/test_ood/imu_bias	3.0000	0.5037	0.0019	0.5042	0.0029	0.5345	0.0041	0.5345	0.0041	0.4627	0.0031	0.5077	0.0036	0.5071	0.0030	0.4785	0.0140	0.5028	0.0000	0.4999	0.0002	0.5005	0.0001
prob_aug_recon_fc	human	fault_detection/test_ood/insole_missing	3.0000	0.8389	0.0212	0.8499	0.0179	0.8472	0.0077	0.4679	0.0253	0.4219	0.0505	0.8244	0.0287	0.7972	0.0247	0.3840	0.0334	0.8430	0.0005	0.5005	0.0001	0.2932	0.0021
prob_aug_recon_fc	human	fault_detection/test_ood/packet_loss	3.0000	0.7885	0.0071	0.8013	0.0050	0.9619	0.0031	0.4994	0.0007	0.4999	0.0005	0.5005	0.0002	0.5078	0.0017	0.4915	0.0043	0.9619	0.0031	0.4564	0.0054	0.5005	0.0005
prob_aug_recon_fc	human	fault_detection/test_ood/packet_loss_burst	3.0000	0.7552	0.0002	0.7837	0.0039	0.9204	0.0055	0.4990	0.0008	0.5002	0.0007	0.5019	0.0008	0.5105	0.0020	0.4998	0.0175	0.9204	0.0055	0.0535	0.0120	0.5005	0.0014
prob_aug_recon_fc	human	fault_detection/test_ood/packet_loss_partial	3.0000	0.8126	0.0034	0.8021	0.0021	0.9999	0.0001	0.4996	0.0003	0.5000	0.0003	0.5013	0.0008	0.5073	0.0014	0.5033	0.0163	0.9611	0.0012	0.9999	0.0001	0.5004	0.0005
prob_aug_recon_fc	human	fault_detection/test_ood/sensor_delay	3.0000	0.7735	0.0055	0.5565	0.0020	0.9890	0.0000	0.4800	0.0020	0.5152	0.0031	0.5447	0.0049	0.5389	0.0046	0.5185	0.0158	0.4983	0.0001	0.9890	0.0000	0.5044	0.0005
prob_aug_recon_fc	human	fault_detection/test_ood/sensor_delay_jitter	3.0000	0.7658	0.0102	0.5586	0.0026	0.9632	0.0101	0.4810	0.0004	0.5152	0.0051	0.5496	0.0023	0.5434	0.0019	0.4983	0.0135	0.4986	0.0008	0.9632	0.0101	0.5038	0.0019
prob_aug_recon_fc	human	fault_detection/test_ood/stuck_imu	3.0000	0.8435	0.0047	0.8418	0.0042	1.0000	0.0000	0.4843	0.0037	0.5106	0.0051	0.4777	0.0061	0.4750	0.0055	0.5137	0.0140	0.9972	0.0000	1.0000	0.0000	0.4995	0.0001
prob_aug_recon_fc	human	fault_detection/train/encoder_dropout	3.0000	0.9508	0.0092	0.9508	0.0091	0.9381	0.0003	0.5863	0.0165	0.5044	0.0314	0.8912	0.0192	0.8758	0.0184	0.5618	0.0338	0.9381	0.0003	0.5000	0.0000	0.4603	0.0006
prob_aug_recon_fc	human	fault_detection/train/imu_bias	3.0000	0.5016	0.0015	0.5032	0.0016	0.5327	0.0068	0.5327	0.0068	0.4564	0.0032	0.5040	0.0026	0.5038	0.0022	0.4804	0.0021	0.5009	0.0002	0.5000	0.0000	0.5188	0.0002
