run	report	run_family	profile	training_mode	mode	seed	selected_gate_softness	selected_gate_deadband	scenario	policy_source	selected_softness	selected_deadband	met_wrong_budget	wrong_limit	gated_wrong	ungated_wrong	gate_wrong_delta	gated_retained	ungated_retained	gate_retained_delta	gate_retained_ratio	mean_gate	nature_wrong	nature_retained	retained_delta
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_id/clean	selected_val_gate	2.0000	1.0373	0.0000	0.0683	0.0727	0.0731	-0.0005	0.7888	0.8217	-0.0328	0.9600	0.9784	0.0583	0.9625	-0.1737
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_ood/clean	selected_val_gate	2.0000	1.0373	0.0000	0.0450	0.0751	0.0825	-0.0074	0.6971	0.7243	-0.0272	0.9624	0.9502	0.0350	1.0846	-0.3875
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_id/insole_missing	selected_val_gate	2.0000	1.0373	1.0000	0.2116	0.0860	0.0907	-0.0046	0.4734	0.6590	-0.1855	0.7184	0.8413	0.2016	0.4260	0.0474
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_id/encoder_dropout	selected_val_gate	2.0000	1.0373	1.0000	0.1928	0.1010	0.1180	-0.0170	0.3868	0.6271	-0.2403	0.6168	0.7891	0.1828	0.5915	-0.2047
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_id/imu_bias	selected_val_gate	2.0000	1.0373	1.0000	0.0738	0.0726	0.0731	-0.0006	0.7671	0.7966	-0.0295	0.9629	0.9789	0.0638	0.9647	-0.1976
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_id/packet_loss	selected_val_gate	2.0000	1.0373	0.0000	0.0692	0.0728	0.0734	-0.0006	0.7857	0.8212	-0.0355	0.9568	0.9733	0.0592	0.9613	-0.1756
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_id/stuck_imu	selected_val_gate	2.0000	1.0373	1.0000	0.1027	0.0753	0.0829	-0.0076	0.6420	0.7888	-0.1468	0.8139	0.8615	0.0927	0.8554	-0.2134
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_id/packet_loss_burst	selected_val_gate	2.0000	1.0373	0.0000	0.0711	0.0738	0.0744	-0.0006	0.7714	0.8187	-0.0474	0.9421	0.9587	0.0611	0.9577	-0.1864
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_id/packet_loss_partial	selected_val_gate	2.0000	1.0373	0.0000	0.0691	0.0729	0.0735	-0.0006	0.7861	0.8209	-0.0349	0.9575	0.9744	0.0591	0.9613	-0.1752
v2_fc_main_seed13	reports/v2_fc_main_seed13/reliability_report.json	main	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_id/sensor_delay	selected_val_gate	2.0000	1.0373	1.0000	0.1644	0.1042	0.1084	-0.0041	0.6496	0.7557	-0.1061	0.8596	0.9399	0.1544	0.8038	-0.1542
