run_family	training_mode	profile	scenario	n	our_rmse_mean	our_rmse_std	nature_rmse_mean	nature_rmse_std	rmse_delta_mean	rmse_delta_std	our_r2_mean	our_r2_std	nature_r2_mean	nature_r2_std	r2_delta_mean	r2_delta_std	our_wrong_mean	our_wrong_std	our_ungated_wrong_mean	our_ungated_wrong_std	gate_wrong_delta_mean	gate_wrong_delta_std	nature_wrong_mean	nature_wrong_std	wrong_delta_mean	wrong_delta_std	our_retained_mean	our_retained_std	our_ungated_retained_mean	our_ungated_retained_std	gate_retained_delta_mean	gate_retained_delta_std	gate_retained_ratio_mean	gate_retained_ratio_std	nature_retained_mean	nature_retained_std	retained_delta_mean	retained_delta_std	ungated_retained_delta_mean	ungated_retained_delta_std	mean_gate_mean	mean_gate_std	cl_net_moment_rms_reduction_ratio_mean	cl_net_moment_rms_reduction_ratio_std	cl_abs_work_reduction_ratio_mean	cl_abs_work_reduction_ratio_std	cl_fight_fraction_mean	cl_fight_fraction_std
stress	prob_aug_recon_fc	human	test_id/packet_loss@0.05	3.0000	0.1728	0.0017	0.1629	0.0000	0.0099	0.0016	0.7693	0.0044	0.7949	0.0001	-0.0256	0.0044	0.0747	0.0023	0.0753	0.0023	-0.0006	0.0001	0.0585	0.0000	0.0162	0.0024	0.7760	0.0143	0.8089	0.0168	-0.0329	0.0028	0.9594	0.0027	0.9621	0.0000	-0.1861	0.0143	-0.1533	0.0169	0.9770	0.0004	0.1018	0.0011	0.1066	0.0021	0.1997	0.0017
stress	prob_aug_recon_fc	human	test_id/packet_loss@0.15	3.0000	0.1730	0.0016	0.1638	0.0000	0.0092	0.0017	0.7686	0.0044	0.7926	0.0000	-0.0239	0.0044	0.0748	0.0024	0.0754	0.0023	-0.0006	0.0001	0.0592	0.0000	0.0156	0.0023	0.7750	0.0133	0.8085	0.0168	-0.0336	0.0036	0.9585	0.0037	0.9612	0.0001	-0.1863	0.0133	-0.1527	0.0169	0.9738	0.0006	0.1014	0.0008	0.1060	0.0019	0.2006	0.0017
stress	prob_aug_recon_fc	human	test_id/packet_loss@0.30	3.0000	0.1736	0.0014	0.1656	0.0001	0.0080	0.0013	0.7670	0.0039	0.7879	0.0004	-0.0209	0.0036	0.0752	0.0023	0.0758	0.0022	-0.0007	0.0001	0.0605	0.0001	0.0147	0.0021	0.7581	0.0118	0.8077	0.0166	-0.0496	0.0048	0.9386	0.0048	0.9592	0.0001	-0.2012	0.0117	-0.1516	0.0165	0.9508	0.0020	0.0986	0.0008	0.1032	0.0016	0.2024	0.0016
stress	prob_aug_recon_fc	human	test_id/packet_loss_burst@0.05	3.0000	0.1729	0.0016	0.1632	0.0001	0.0096	0.0016	0.7690	0.0042	0.7940	0.0002	-0.0250	0.0043	0.0746	0.0023	0.0752	0.0023	-0.0005	0.0001	0.0587	0.0001	0.0159	0.0022	0.7747	0.0136	0.8087	0.0168	-0.0340	0.0032	0.9580	0.0032	0.9616	0.0001	-0.1869	0.0135	-0.1529	0.0167	0.9761	0.0006	0.1014	0.0010	0.1062	0.0020	0.1999	0.0016
stress	prob_aug_recon_fc	human	test_id/packet_loss_burst@0.15	3.0000	0.1741	0.0015	0.1663	0.0002	0.0078	0.0017	0.7657	0.0041	0.7862	0.0005	-0.0205	0.0045	0.0753	0.0020	0.0760	0.0020	-0.0007	0.0001	0.0605	0.0004	0.0147	0.0021	0.7619	0.0138	0.8067	0.0163	-0.0448	0.0028	0.9445	0.0025	0.9583	0.0007	-0.1964	0.0131	-0.1516	0.0156	0.9595	0.0004	0.0990	0.0010	0.1032	0.0020	0.2025	0.0015
stress	prob_aug_recon_fc	human	test_id/packet_loss_partial@0.15	3.0000	0.1729	0.0017	0.1638	0.0001	0.0091	0.0017	0.7688	0.0044	0.7926	0.0002	-0.0238	0.0045	0.0749	0.0023	0.0755	0.0023	-0.0006	0.0001	0.0592	0.0001	0.0156	0.0022	0.7741	0.0137	0.8085	0.0167	-0.0344	0.0037	0.9575	0.0038	0.9611	0.0002	-0.1870	0.0137	-0.1526	0.0168	0.9742	0.0007	0.1011	0.0009	0.1058	0.0021	0.2006	0.0016
stress	prob_aug_recon_fc	human	test_id/sensor_delay@10	3.0000	0.2075	0.0033	0.2743	0.0000	-0.0668	0.0033	0.6671	0.0106	0.4185	0.0000	0.2486	0.0106	0.1024	0.0016	0.1058	0.0023	-0.0034	0.0008	0.1544	0.0000	-0.0520	0.0016	0.6477	0.0130	0.7470	0.0114	-0.0994	0.0069	0.8670	0.0093	0.8038	0.0000	-0.1562	0.0130	-0.0568	0.0114	0.9430	0.0042	0.0714	0.0013	0.0679	0.0006	0.2556	0.0033
stress	prob_aug_recon_fc	human	test_id/sensor_delay@20	3.0000	0.2611	0.0048	0.3517	0.0000	-0.0906	0.0048	0.4729	0.0193	0.0439	0.0000	0.4291	0.0193	0.1455	0.0022	0.1587	0.0038	-0.0132	0.0020	0.2651	0.0000	-0.1196	0.0022	0.5187	0.0122	0.6909	0.0086	-0.1722	0.0059	0.7507	0.0102	0.6404	0.0000	-0.1217	0.0122	0.0505	0.0086	0.8766	0.0095	0.0537	0.0009	0.0403	0.0002	0.3088	0.0062
stress	prob_aug_recon_fc	human	test_id/sensor_delay@5	3.0000	0.1867	0.0009	0.2162	0.0000	-0.0296	0.0009	0.7306	0.0026	0.6385	0.0000	0.0921	0.0026	0.0853	0.0009	0.0866	0.0008	-0.0014	0.0003	0.0995	0.0000	-0.0142	0.0009	0.7341	0.0121	0.7766	0.0142	-0.0425	0.0023	0.9453	0.0021	0.8932	0.0000	-0.1591	0.0121	-0.1166	0.0142	0.9725	0.0008	0.0882	0.0007	0.0893	0.0009	0.2286	0.0022
stress	prob_aug_recon_fc	human	test_id/sensor_delay_jitter@10	3.0000	0.2109	0.0039	0.2723	0.0031	-0.0615	0.0060	0.6561	0.0127	0.4266	0.0129	0.2295	0.0220	0.1041	0.0008	0.1080	0.0021	-0.0039	0.0013	0.1535	0.0015	-0.0495	0.0012	0.6349	0.0092	0.7479	0.0125	-0.1130	0.0090	0.8490	0.0105	0.8024	0.0043	-0.1675	0.0135	-0.0545	0.0152	0.9326	0.0060	0.0706	0.0013	0.0663	0.0012	0.2575	0.0040
