run	report	run_family	profile	training_mode	mode	seed	selected_gate_softness	selected_gate_deadband	scenario	our_rmse	nature_rmse	rmse_delta	our_r2	nature_r2	r2_delta	our_wrong	our_ungated_wrong	gate_wrong_delta	nature_wrong	wrong_delta	our_retained	our_ungated_retained	gate_retained_delta	gate_retained_ratio	nature_retained	retained_delta	ungated_retained_delta	mean_gate	cl_net_moment_rms_reduction_ratio	cl_abs_work_reduction_ratio	cl_fight_fraction
v2_fc_stress_seed13	reports/v2_fc_stress_seed13/reliability_report.json	stress	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_id/packet_loss@0.05	0.1711	0.1629	0.0083	0.7736	0.7950	-0.0214	0.0728	0.0733	-0.0005	0.0586	0.0142	0.7876	0.8215	-0.0339	0.9587	0.9621	-0.1745	-0.1406	0.9772	0.1027	0.1089	0.1978
v2_fc_stress_seed13	reports/v2_fc_stress_seed13/reliability_report.json	stress	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_id/packet_loss@0.15	0.1714	0.1638	0.0075	0.7730	0.7925	-0.0196	0.0729	0.0734	-0.0006	0.0592	0.0137	0.7855	0.8211	-0.0356	0.9566	0.9612	-0.1757	-0.1401	0.9734	0.1021	0.1081	0.1988
v2_fc_stress_seed13	reports/v2_fc_stress_seed13/reliability_report.json	stress	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_id/packet_loss@0.30	0.1723	0.1655	0.0068	0.7705	0.7883	-0.0178	0.0733	0.0740	-0.0007	0.0603	0.0130	0.7665	0.8202	-0.0538	0.9345	0.9592	-0.1928	-0.1390	0.9485	0.0990	0.1049	0.2007
v2_fc_stress_seed13	reports/v2_fc_stress_seed13/reliability_report.json	stress	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_id/packet_loss_burst@0.05	0.1713	0.1632	0.0081	0.7731	0.7941	-0.0210	0.0727	0.0732	-0.0005	0.0587	0.0141	0.7854	0.8213	-0.0359	0.9563	0.9617	-0.1763	-0.1404	0.9759	0.1021	0.1084	0.1981
v2_fc_stress_seed13	reports/v2_fc_stress_seed13/reliability_report.json	stress	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_id/packet_loss_burst@0.15	0.1726	0.1665	0.0061	0.7697	0.7857	-0.0159	0.0736	0.0742	-0.0007	0.0609	0.0127	0.7729	0.8185	-0.0456	0.9442	0.9586	-0.1858	-0.1401	0.9594	0.0999	0.1054	0.2010
v2_fc_stress_seed13	reports/v2_fc_stress_seed13/reliability_report.json	stress	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_id/packet_loss_partial@0.15	0.1713	0.1638	0.0075	0.7731	0.7925	-0.0195	0.0730	0.0735	-0.0005	0.0592	0.0138	0.7858	0.8210	-0.0352	0.9571	0.9612	-0.1754	-0.1402	0.9742	0.1020	0.1081	0.1989
v2_fc_stress_seed13	reports/v2_fc_stress_seed13/reliability_report.json	stress	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_id/sensor_delay@10	0.2102	0.2743	-0.0640	0.6583	0.4185	0.2398	0.1042	0.1084	-0.0041	0.1544	-0.0501	0.6500	0.7557	-0.1056	0.8602	0.8038	-0.1538	-0.0481	0.9400	0.0700	0.0672	0.2567
v2_fc_stress_seed13	reports/v2_fc_stress_seed13/reliability_report.json	stress	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_id/sensor_delay@20	0.2646	0.3517	-0.0871	0.4588	0.0439	0.4150	0.1466	0.1620	-0.0154	0.2651	-0.1186	0.5197	0.6959	-0.1763	0.7467	0.6404	-0.1207	0.0555	0.8698	0.0527	0.0400	0.3095
v2_fc_stress_seed13	reports/v2_fc_stress_seed13/reliability_report.json	stress	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_id/sensor_delay@5	0.1876	0.2162	-0.0287	0.7280	0.6385	0.0895	0.0853	0.0869	-0.0017	0.0995	-0.0142	0.7423	0.7872	-0.0449	0.9430	0.8932	-0.1509	-0.1060	0.9715	0.0879	0.0902	0.2284
v2_fc_stress_seed13	reports/v2_fc_stress_seed13/reliability_report.json	stress	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_id/sensor_delay_jitter@10	0.2142	0.2690	-0.0548	0.6452	0.4406	0.2046	0.1048	0.1100	-0.0053	0.1534	-0.0487	0.6348	0.7582	-0.1234	0.8372	0.8036	-0.1688	-0.0454	0.9263	0.0692	0.0650	0.2596
v2_fc_stress_seed13	reports/v2_fc_stress_seed13/reliability_report.json	stress	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_id/sensor_delay_jitter@20	0.2698	0.3454	-0.0755	0.4372	0.0779	0.3593	0.1531	0.1690	-0.0159	0.2546	-0.1015	0.5235	0.6844	-0.1609	0.7649	0.6538	-0.1303	0.0305	0.8724	0.0524	0.0390	0.3126
v2_fc_stress_seed13	reports/v2_fc_stress_seed13/reliability_report.json	stress	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_ood/packet_loss@0.05	0.2539	0.1761	0.0778	0.7017	0.8565	-0.1548	0.0750	0.0825	-0.0075	0.0352	0.0398	0.6953	0.7242	-0.0290	0.9600	1.0843	-0.3891	-0.3601	0.9488	0.1019	0.0830	0.2101
v2_fc_stress_seed13	reports/v2_fc_stress_seed13/reliability_report.json	stress	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_ood/packet_loss@0.15	0.2541	0.1770	0.0771	0.7012	0.8550	-0.1538	0.0750	0.0826	-0.0076	0.0356	0.0394	0.6929	0.7238	-0.0309	0.9573	1.0840	-0.3911	-0.3602	0.9463	0.1015	0.0824	0.2102
v2_fc_stress_seed13	reports/v2_fc_stress_seed13/reliability_report.json	stress	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_ood/packet_loss@0.30	0.2546	0.1787	0.0759	0.7002	0.8523	-0.1521	0.0754	0.0835	-0.0081	0.0363	0.0391	0.6781	0.7233	-0.0452	0.9375	1.0827	-0.4046	-0.3594	0.9207	0.0993	0.0809	0.2112
v2_fc_stress_seed13	reports/v2_fc_stress_seed13/reliability_report.json	stress	human	prob_aug_recon_fc	eval	13.0000	2.0000	1.0373	test_ood/packet_loss_burst@0.05	0.2540	0.1767	0.0773	0.7014	0.8555	-0.1541	0.0747	0.0822	-0.0075	0.0351	0.0396	0.6945	0.7243	-0.0298	0.9588	1.0847	-0.3902	-0.3604	0.9483	0.1018	0.0828	0.2107
