split	fault	held_out_generator	n	fused_mean	fused_std	fused_online_mean	fused_online_std	logit_mean	logit_std	residual_mean	residual_std	forecast_mean	forecast_std	staleness_mean	staleness_std	coherence_mean	coherence_std	drift_mean	drift_std
test_id	insole_missing	False	3	0.9278	0.0126	0.9397	0.0093	0.4777	0.0545	0.9453	0.0144	0.9295	0.013	0.8589	0.0005	0.4999	0.0	0.3185	0.0016
test_id	encoder_dropout	False	3	0.9513	0.0069	0.9513	0.0069	0.638	0.0109	0.8719	0.0267	0.8555	0.026	0.946	0.0002	0.4999	0.0	0.4827	0.0004
test_id	imu_bias	False	3	0.5017	0.0012	0.5044	0.001	0.5341	0.0034	0.5043	0.0026	0.5042	0.0024	0.5022	0.0002	0.4999	0.0001	0.5139	0.0002
test_id	packet_loss	False	3	0.8754	0.0081	0.9077	0.0064	0.4994	0.0001	0.5006	0.0001	0.5085	0.0015	0.9379	0.0005	0.4794	0.0046	0.5	0.0001
test_id	stuck_imu	False	3	0.9598	0.0004	0.9596	0.0005	0.4789	0.0092	0.6595	0.0093	0.6454	0.0056	0.965	0.0002	1.0	0.0	0.4922	0.0004
test_id	packet_loss_burst	True	3	0.743	0.0195	0.8859	0.0042	0.4982	0.0007	0.5036	0.0005	0.5152	0.0017	0.9217	0.0018	0.0549	0.0043	0.5022	0.0008
test_id	packet_loss_partial	True	3	0.9149	0.0055	0.9091	0.0057	0.4995	0.0001	0.5014	0.0003	0.5088	0.0015	0.9391	0.0003	1.0	0.0	0.5001	0.0003
test_id	sensor_delay	False	3	0.8782	0.0089	0.6282	0.0157	0.4383	0.0092	0.6114	0.0122	0.5985	0.0097	0.497	0.0001	0.9531	0.0	0.509	0.0001
test_id	sensor_delay_jitter	True	3	0.867	0.0133	0.6407	0.0229	0.4401	0.009	0.6175	0.0118	0.605	0.0094	0.4969	0.0008	0.9348	0.0096	0.5106	0.0036
test_ood	insole_missing	False	3	0.8389	0.0212	0.8499	0.0179	0.4679	0.0253	0.8244	0.0287	0.7972	0.0247	0.843	0.0005	0.5005	0.0001	0.2932	0.0021
test_ood	encoder_dropout	False	3	0.8874	0.0052	0.8874	0.0052	0.6071	0.0368	0.6584	0.0378	0.6435	0.0341	0.9814	0.0002	0.5005	0.0001	0.4889	0.0004
test_ood	imu_bias	False	3	0.5037	0.0019	0.5042	0.0029	0.5345	0.0041	0.5077	0.0036	0.5071	0.003	0.5028	0.0	0.4999	0.0002	0.5005	0.0001
test_ood	packet_loss	False	3	0.7885	0.0071	0.8013	0.005	0.4994	0.0007	0.5005	0.0002	0.5078	0.0017	0.9619	0.0031	0.4564	0.0054	0.5005	0.0005
test_ood	stuck_imu	False	3	0.8435	0.0047	0.8418	0.0042	0.4843	0.0037	0.4777	0.0061	0.475	0.0055	0.9972	0.0	1.0	0.0	0.4995	0.0001
test_ood	packet_loss_burst	True	3	0.7552	0.0002	0.7837	0.0039	0.499	0.0008	0.5019	0.0008	0.5105	0.002	0.9204	0.0055	0.0535	0.012	0.5005	0.0014
test_ood	packet_loss_partial	True	3	0.8126	0.0034	0.8021	0.0021	0.4996	0.0003	0.5013	0.0008	0.5073	0.0014	0.9611	0.0012	0.9999	0.0001	0.5004	0.0005
test_ood	sensor_delay	False	3	0.7735	0.0055	0.5565	0.002	0.48	0.002	0.5447	0.0049	0.5389	0.0046	0.4983	0.0001	0.989	0.0	0.5044	0.0005
test_ood	sensor_delay_jitter	True	3	0.7658	0.0102	0.5586	0.0026	0.481	0.0004	0.5496	0.0023	0.5434	0.0019	0.4986	0.0008	0.9632	0.0101	0.5038	0.0019
