split	fault	held_out_generator	n	ungated_wrong_mean	ungated_wrong_std	gated_wrong_mean	gated_wrong_std	wrong_delta_mean	wrong_delta_std	ungated_wrong_energy_mean	ungated_wrong_energy_std	gated_wrong_energy_mean	gated_wrong_energy_std	wrong_energy_delta_mean	wrong_energy_delta_std	ungated_peak_wrong_mean	ungated_peak_wrong_std	gated_peak_wrong_mean	gated_peak_wrong_std	ungated_jerk_mean	ungated_jerk_std	gated_jerk_mean	gated_jerk_std	ungated_retained_mean	ungated_retained_std	gated_retained_mean	gated_retained_std	retained_ratio_mean	retained_ratio_std	mean_gate_mean	mean_gate_std
test_id	clean	False	3	0.0752	0.0024	0.0747	0.0024	-0.0005	0.0001	0.0408	0.0037	0.04	0.0039	-0.0008	0.0003	0.1135	0.005	0.1135	0.005	0.2865	0.0069	0.344	0.0089	0.8091	0.0169	0.7769	0.0145	0.9602	0.0028	0.9781	0.0006
test_id	insole_missing	False	3	0.0917	0.0086	0.0878	0.0077	-0.004	0.0011	0.0503	0.0128	0.0414	0.0119	-0.0089	0.0026	0.1077	0.0097	0.1048	0.0124	0.2522	0.003	0.2794	0.0098	0.6754	0.0153	0.5129	0.0368	0.7589	0.0374	0.8686	0.0277
test_id	encoder_dropout	False	3	0.1133	0.0042	0.0984	0.0048	-0.015	0.0035	0.0961	0.0081	0.0531	0.0058	-0.043	0.0093	0.14	0.0128	0.0794	0.0087	0.261	0.0022	0.2853	0.0029	0.6704	0.0576	0.4026	0.0156	0.6032	0.0499	0.7936	0.0259
test_id	imu_bias	False	3	0.0761	0.0033	0.0755	0.0033	-0.0006	0.0001	0.0387	0.0041	0.0378	0.0042	-0.0009	0.0002	0.1138	0.0093	0.1138	0.0093	0.28	0.0063	0.3377	0.0072	0.7866	0.0132	0.7584	0.0105	0.9641	0.0031	0.979	0.0005
test_id	packet_loss	False	3	0.0755	0.0024	0.0749	0.0024	-0.0006	0.0001	0.0409	0.0036	0.04	0.0039	-0.0009	0.0003	0.1134	0.0051	0.1134	0.0051	0.2864	0.007	0.367	0.0122	0.8085	0.0169	0.7739	0.0148	0.9573	0.0021	0.9733	0.0003
test_id	stuck_imu	False	3	0.0838	0.0042	0.0762	0.0034	-0.0076	0.0008	0.0494	0.0047	0.0424	0.0049	-0.0071	0.0003	0.1104	0.0116	0.1098	0.0127	0.2713	0.0085	0.2526	0.0041	0.7785	0.0201	0.6418	0.0059	0.8246	0.0149	0.8685	0.009
test_id	packet_loss_burst	True	3	0.0761	0.0023	0.0754	0.0023	-0.0007	0.0001	0.0416	0.0035	0.04	0.0038	-0.0016	0.0003	0.1159	0.0062	0.1151	0.0056	0.2861	0.0071	0.3818	0.0147	0.8068	0.0164	0.7613	0.0136	0.9437	0.0025	0.959	0.0006
test_id	packet_loss_partial	True	3	0.0755	0.0023	0.0749	0.0023	-0.0006	0.0001	0.0409	0.0037	0.0401	0.0039	-0.0008	0.0002	0.1124	0.0054	0.1124	0.0054	0.2865	0.0069	0.3574	0.0123	0.8085	0.0168	0.7743	0.0144	0.9576	0.0027	0.9743	0.0004
test_id	sensor_delay	False	3	0.1058	0.0023	0.1024	0.0016	-0.0034	0.0008	0.0732	0.0044	0.0668	0.003	-0.0064	0.0017	0.1335	0.0028	0.1334	0.0026	0.2638	0.0043	0.3333	0.0105	0.747	0.0114	0.6475	0.0127	0.8667	0.0092	0.943	0.0041
test_id	sensor_delay_jitter	True	3	0.1088	0.0021	0.1049	0.0018	-0.004	0.0009	0.0784	0.0026	0.0707	0.0009	-0.0076	0.002	0.1443	0.0119	0.1443	0.0119	0.2684	0.0046	0.3192	0.01	0.7482	0.0113	0.637	0.0087	0.8515	0.0091	0.9333	0.005
test_ood	clean	False	3	0.0774	0.0047	0.07	0.0045	-0.0074	0.0008	0.0316	0.0058	0.0236	0.0044	-0.008	0.0016	0.1514	0.0246	0.1382	0.0196	0.2536	0.0106	0.3026	0.0136	0.7192	0.0144	0.6912	0.0136	0.9611	0.0013	0.9502	0.0002
test_ood	insole_missing	False	3	0.0946	0.0115	0.0818	0.0099	-0.0127	0.0022	0.0379	0.0095	0.021	0.0046	-0.0169	0.0052	0.1669	0.0212	0.1118	0.0202	0.2164	0.006	0.2551	0.0174	0.5841	0.0391	0.493	0.063	0.8423	0.0621	0.8835	0.0378
test_ood	encoder_dropout	False	3	0.156	0.0122	0.1437	0.0101	-0.0123	0.0021	0.0718	0.0136	0.0538	0.0136	-0.018	0.0073	0.2026	0.0206	0.1424	0.0129	0.2253	0.0033	0.2493	0.0059	0.4179	0.0421	0.2587	0.0182	0.6228	0.0709	0.8517	0.0241
test_ood	imu_bias	False	3	0.0756	0.0047	0.0682	0.0046	-0.0074	0.0007	0.03	0.0059	0.0222	0.0042	-0.0079	0.0019	0.1522	0.0253	0.1389	0.0219	0.2481	0.0109	0.2965	0.0141	0.695	0.0133	0.6683	0.0118	0.9616	0.0017	0.951	0.0006
test_ood	packet_loss	False	3	0.0776	0.0046	0.0699	0.0045	-0.0077	0.0007	0.0319	0.0058	0.0236	0.0044	-0.0083	0.0016	0.1523	0.0247	0.1311	0.0123	0.2535	0.0106	0.3249	0.018	0.7188	0.0142	0.6894	0.0124	0.9592	0.002	0.9479	0.0005
